facility_code,facility_name,facility_type,zone,municipality,district,latitude,longitude,source_dataset,bus_status,solver_ready,bus_id,voltage_kv,topology_role,voltage_level_status,notes
0103S5006000,MOGOFORES,SE_AT,Região de Aveiro,Anadia,Aveiro,40.4400911087426,-8.44888386990319,se-at_2025,candidate,False,0103S5006000_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0104S5000900,AROUCA,SE_AT,Area Metropolitana do Porto,Arouca,Aveiro,40.9242205177792,-8.27886319721498,se-at_2025,candidate,False,0104S5000900_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0104S5000900,AROUCA,SE_AT,Area Metropolitana do Porto,Arouca,Aveiro,40.9242205177792,-8.27886319721498,se-at_2025,candidate,False,0104S5000900_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0105P5023800,PC CACIA,PC_AT,Região de Aveiro,Aveiro,Aveiro,40.6812131007942,-8.5868591459076,pc-at_2025,candidate,False,0105P5023800_60,60.0,posto_de_corte,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0105S5001500,AVEIRO,SE_AT,Região de Aveiro,Aveiro,Aveiro,40.636122584255,-8.6432187296746,se-at_2025,candidate,False,0105S5001500_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0105S5001500,AVEIRO,SE_AT,Região de Aveiro,Aveiro,Aveiro,40.636122584255,-8.6432187296746,se-at_2025,candidate,False,0105S5001500_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0105S5003900,ESGUEIRA,SE_AT,Região de Aveiro,Aveiro,Aveiro,40.64977607702,-8.61904718282078,se-at_2025,candidate,False,0105S5003900_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0105S5003900,ESGUEIRA,SE_AT,Região de Aveiro,Aveiro,Aveiro,40.64977607702,-8.61904718282078,se-at_2025,candidate,False,0105S5003900_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0106S5021300,FORNOS,SE_AT,Tâmega e Sousa,Castelo de Paiva,Aveiro,41.0546118372906,-8.24224679886584,se-at_2025,candidate,False,0106S5021300_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0106S5021300,FORNOS,SE_AT,Tâmega e Sousa,Castelo de Paiva,Aveiro,41.0546118372906,-8.24224679886584,se-at_2025,candidate,False,0106S5021300_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0107S5002500,ESPINHO,SE_AT,Area Metropolitana do Porto,Espinho,Aveiro,41.0114943572135,-8.63112602755307,se-at_2025,candidate,False,0107S5002500_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0107S5002500,ESPINHO,SE_AT,Area Metropolitana do Porto,Espinho,Aveiro,41.0114943572135,-8.63112602755307,se-at_2025,candidate,False,0107S5002500_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0108S5001000,AVANCA,SE_AT,Região de Aveiro,Estarreja,Aveiro,40.8076159881582,-8.56878202493117,se-at_2025,candidate,False,0108S5001000_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0108S5001000,AVANCA,SE_AT,Região de Aveiro,Estarreja,Aveiro,40.8076159881582,-8.56878202493117,se-at_2025,candidate,False,0108S5001000_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0109P5021000,ACAIL,PC_AT,Area Metropolitana do Porto,Santa Maria da Feira,Aveiro,40.8780561226652,-8.56290081322466,pc-at_2025,candidate,False,0109P5021000_60,60.0,posto_de_corte,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0109S5007900,INHA,SE_AT,Area Metropolitana do Porto,Santa Maria da Feira,Aveiro,41.0172840975065,-8.4359121848815,se-at_2025,candidate,False,0109S5007900_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0109S5007900,INHA,SE_AT,Area Metropolitana do Porto,Santa Maria da Feira,Aveiro,41.0172840975065,-8.4359121848815,se-at_2025,candidate,False,0109S5007900_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0109S5009200,RIO MEÃO,SE_AT,Area Metropolitana do Porto,Santa Maria da Feira,Aveiro,40.959133792343,-8.58748322135081,se-at_2025,candidate,False,0109S5009200_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0109S5009200,RIO MEÃO,SE_AT,Area Metropolitana do Porto,Santa Maria da Feira,Aveiro,40.959133792343,-8.58748322135081,se-at_2025,candidate,False,0109S5009200_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0109S5009900,SANGUEDO,SE_AT,Area Metropolitana do Porto,Santa Maria da Feira,Aveiro,41.0002115452873,-8.53035507988992,se-at_2025,candidate,False,0109S5009900_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0109S5009900,SANGUEDO,SE_AT,Area Metropolitana do Porto,Santa Maria da Feira,Aveiro,41.0002115452873,-8.53035507988992,se-at_2025,candidate,False,0109S5009900_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0109S5010000,SÃO JOÃO DA MADEIRA,SE_AT,Area Metropolitana do Porto,Santa Maria da Feira,Aveiro,40.9034348503888,-8.50224775536531,se-at_2025,candidate,False,0109S5010000_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0109S5010000,SÃO JOÃO DA MADEIRA,SE_AT,Area Metropolitana do Porto,Santa Maria da Feira,Aveiro,40.9034348503888,-8.50224775536531,se-at_2025,candidate,False,0109S5010000_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0109S5014500,FEIRA,SE_AT,Area Metropolitana do Porto,Santa Maria da Feira,Aveiro,40.9464719158103,-8.52896569062469,se-at_2025,candidate,False,0109S5014500_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0109S5014500,FEIRA,SE_AT,Area Metropolitana do Porto,Santa Maria da Feira,Aveiro,40.9464719158103,-8.52896569062469,se-at_2025,candidate,False,0109S5014500_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0109S5020900,NOGUEIRA DA REGEDOURA,SE_AT,Area Metropolitana do Porto,Santa Maria da Feira,Aveiro,41.0074571000553,-8.59641419508294,se-at_2025,candidate,False,0109S5020900_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0109S5020900,NOGUEIRA DA REGEDOURA,SE_AT,Area Metropolitana do Porto,Santa Maria da Feira,Aveiro,41.0074571000553,-8.59641419508294,se-at_2025,candidate,False,0109S5020900_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0110S5004000,GAFANHA,SE_AT,Região de Aveiro,Ílhavo,Aveiro,40.6303858968003,-8.69717296501574,se-at_2025,candidate,False,0110S5004000_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0110S5004000,GAFANHA,SE_AT,Região de Aveiro,Ílhavo,Aveiro,40.6303858968003,-8.69717296501574,se-at_2025,candidate,False,0110S5004000_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0110S5007800,ÍLHAVO,SE_AT,Região de Aveiro,Ílhavo,Aveiro,40.5880066367729,-8.65334783901329,se-at_2025,candidate,False,0110S5007800_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0110S5007800,ÍLHAVO,SE_AT,Região de Aveiro,Ílhavo,Aveiro,40.5880066367729,-8.65334783901329,se-at_2025,candidate,False,0110S5007800_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0111S5006200,PAMPILHOSA,SE_AT,Região de Coimbra,Mealhada,Aveiro,40.3462380055416,-8.42842412554117,se-at_2025,candidate,False,0111S5006200_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0111S5006200,PAMPILHOSA,SE_AT,Região de Coimbra,Mealhada,Aveiro,40.3462380055416,-8.42842412554117,se-at_2025,candidate,False,0111S5006200_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0113S5008000,OLIVEIRA DE AZEMÉIS,SE_AT,Area Metropolitana do Porto,Oliveira de Azeméis,Aveiro,40.8427939616871,-8.49014193723323,se-at_2025,candidate,False,0113S5008000_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0113S5008000,OLIVEIRA DE AZEMÉIS,SE_AT,Area Metropolitana do Porto,Oliveira de Azeméis,Aveiro,40.8427939616871,-8.49014193723323,se-at_2025,candidate,False,0113S5008000_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0113S5011100,CARREGOSA,SE_AT,Area Metropolitana do Porto,Oliveira de Azeméis,Aveiro,40.8937818311094,-8.43515982156,se-at_2025,candidate,False,0113S5011100_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0113S5011100,CARREGOSA,SE_AT,Area Metropolitana do Porto,Oliveira de Azeméis,Aveiro,40.8937818311094,-8.43515982156,se-at_2025,candidate,False,0113S5011100_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0114S5001700,BUSTOS,SE_AT,Região de Aveiro,Oliveira do Bairro,Aveiro,40.4874150701647,-8.60604013704436,se-at_2025,candidate,False,0114S5001700_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0114S5001700,BUSTOS,SE_AT,Região de Aveiro,Oliveira do Bairro,Aveiro,40.4874150701647,-8.60604013704436,se-at_2025,candidate,False,0114S5001700_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0114S5022700,OLIVEIRA DO BAIRRO,SE_AT,Região de Aveiro,Oliveira do Bairro,Aveiro,40.5228889710551,-8.52022755743856,se-at_2025,candidate,False,0114S5022700_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0114S5022700,OLIVEIRA DO BAIRRO,SE_AT,Região de Aveiro,Oliveira do Bairro,Aveiro,40.5228889710551,-8.52022755743856,se-at_2025,candidate,False,0114S5022700_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0115P5025100,CORTEGAÇA,PC_AT,Região de Aveiro,Ovar,Aveiro,40.9360868720743,-8.62209315816326,pc-at_2025,candidate,False,0115P5025100_60,60.0,posto_de_corte,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0115S5000800,ARADA,SE_AT,Região de Aveiro,Ovar,Aveiro,40.9075920467726,-8.60826604501897,se-at_2025,candidate,False,0115S5000800_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0115S5000800,ARADA,SE_AT,Região de Aveiro,Ovar,Aveiro,40.9075920467726,-8.60826604501897,se-at_2025,candidate,False,0115S5000800_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0115S5008100,OVAR,SE_AT,Região de Aveiro,Ovar,Aveiro,40.8605998239728,-8.6071060883818,se-at_2025,candidate,False,0115S5008100_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0115S5008100,OVAR,SE_AT,Região de Aveiro,Ovar,Aveiro,40.8605998239728,-8.6071060883818,se-at_2025,candidate,False,0115S5008100_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0116S5002800,DEVESA VELHA,SE_AT,Area Metropolitana do Porto,São João da Madeira,Aveiro,40.8867215448746,-8.47800912203705,se-at_2025,candidate,False,0116S5002800_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0116S5002800,DEVESA VELHA,SE_AT,Area Metropolitana do Porto,São João da Madeira,Aveiro,40.8867215448746,-8.47800912203705,se-at_2025,candidate,False,0116S5002800_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0117S5023700,SEVER DO VOUGA,SE_AT,Região de Aveiro,Sever do Vouga,Aveiro,40.7417661451533,-8.37579230546136,se-at_2025,candidate,False,0117S5023700_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0117S5023700,SEVER DO VOUGA,SE_AT,Região de Aveiro,Sever do Vouga,Aveiro,40.7417661451533,-8.37579230546136,se-at_2025,candidate,False,0117S5023700_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0119S5010100,VALE CAMBRA,SE_AT,Area Metropolitana do Porto,Vale de Cambra,Aveiro,40.8354449542032,-8.39395410711342,se-at_2025,candidate,False,0119S5010100_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0119S5010100,VALE CAMBRA,SE_AT,Area Metropolitana do Porto,Vale de Cambra,Aveiro,40.8354449542032,-8.39395410711342,se-at_2025,candidate,False,0119S5010100_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0201S5050500,ALJUSTREL,SE_AT,Baixo Alentejo,Aljustrel,Beja,37.8786749181258,-8.1519294443239,se-at_2025,candidate,False,0201S5050500_60,15.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0201S5050500,ALJUSTREL,SE_AT,Baixo Alentejo,Aljustrel,Beja,37.8786749181258,-8.1519294443239,se-at_2025,candidate,False,0201S5050500_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0202S5050400,ALMODÔVAR,SE_AT,Baixo Alentejo,Almodôvar,Beja,37.4828475610126,-8.02963783369681,se-at_2025,candidate,False,0202S5050400_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0202S5050400,ALMODÔVAR,SE_AT,Baixo Alentejo,Almodôvar,Beja,37.4828475610126,-8.02963783369681,se-at_2025,candidate,False,0202S5050400_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0202S5052400,PORTEIRINHOS,SE_AT,Baixo Alentejo,Almodôvar,Beja,37.576708146983,-8.07184529434999,se-at_2025,candidate,False,0202S5052400_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0202S5052400,PORTEIRINHOS,SE_AT,Baixo Alentejo,Almodôvar,Beja,37.576708146983,-8.07184529434999,se-at_2025,candidate,False,0202S5052400_30,30.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/30/. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0205S5050100,BEJA,SE_AT,Baixo Alentejo,Beja,Beja,38.0114871410258,-7.87237439066746,se-at_2025,candidate,False,0205S5050100_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0205S5050100,BEJA,SE_AT,Baixo Alentejo,Beja,Beja,38.0114871410258,-7.87237439066746,se-at_2025,candidate,False,0205S5050100_30,30.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/30/. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0208S5052500,FERREIRA DO ALENTEJO,SE_AT,Baixo Alentejo,Ferreira do Alentejo,Beja,38.0592617884869,-8.09983242581698,se-at_2025,candidate,False,0208S5052500_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0208S5052500,FERREIRA DO ALENTEJO,SE_AT,Baixo Alentejo,Ferreira do Alentejo,Beja,38.0592617884869,-8.09983242581698,se-at_2025,candidate,False,0208S5052500_30,30.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/30. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0210S5050700,AMARELEJA,SE_AT,Baixo Alentejo,Moura,Beja,38.2144761561575,-7.22560421176997,se-at_2025,candidate,False,0210S5050700_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0210S5050700,AMARELEJA,SE_AT,Baixo Alentejo,Moura,Beja,38.2144761561575,-7.22560421176997,se-at_2025,candidate,False,0210S5050700_30,30.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/30. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0210S5052300,MOURA,SE_AT,Baixo Alentejo,Moura,Beja,38.1307689006636,-7.44275213889534,se-at_2025,candidate,False,0210S5052300_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0210S5052300,MOURA,SE_AT,Baixo Alentejo,Moura,Beja,38.1307689006636,-7.44275213889534,se-at_2025,candidate,False,0210S5052300_30,30.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/30. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0211S5053400,VILA NOVA MILFONTES,SE_AT,Alentejo Litoral,Odemira,Beja,37.7354913918708,-8.76612596377235,se-at_2025,candidate,False,0211S5053400_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0211S5053400,VILA NOVA MILFONTES,SE_AT,Alentejo Litoral,Odemira,Beja,37.7354913918708,-8.76612596377235,se-at_2025,candidate,False,0211S5053400_30,30.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/30/. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0211S5053600,SÃO TEOTÓNIO,SE_AT,Alentejo Litoral,Odemira,Beja,37.4890646799158,-8.70217322145864,se-at_2025,candidate,False,0211S5053600_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0211S5053600,SÃO TEOTÓNIO,SE_AT,Alentejo Litoral,Odemira,Beja,37.4890646799158,-8.70217322145864,se-at_2025,candidate,False,0211S5053600_30,30.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/30/. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0213P5902300,9023 PIAS,PC_AT,Baixo Alentejo,Serpa,Beja,38.1094242710501,-7.6267147551348,pc-at_2025,candidate,False,0213P5902300_60,60.0,posto_de_corte,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0213P5906100,ÍNSUA,PC_AT,Baixo Alentejo,Serpa,Beja,38.1461288782943,-7.56930127182801,pc-at_2025,candidate,False,0213P5906100_60,60.0,posto_de_corte,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0213S5050300,SERPA,SE_AT,Baixo Alentejo,Serpa,Beja,37.9502615875986,-7.59820656328118,se-at_2025,candidate,False,0213S5050300_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0213S5050300,SERPA,SE_AT,Baixo Alentejo,Serpa,Beja,37.9502615875986,-7.59820656328118,se-at_2025,candidate,False,0213S5050300_30,30.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/30/. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0213S5903000,BRINCHES,SE_AT,Baixo Alentejo,Serpa,Beja,38.0312907801246,-7.61678106226816,se-at_2025,candidate,False,0213S5903000_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0213S5903000,BRINCHES,SE_AT,Baixo Alentejo,Serpa,Beja,38.0312907801246,-7.61678106226816,se-at_2025,candidate,False,0213S5903000_30,30.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/30. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0301S5009900,AMARES,SE_AT,Cávado,Amares,Braga,41.6207863963065,-8.34880764147141,se-at_2025,candidate,False,0301S5009900_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0301S5009900,AMARES,SE_AT,Cávado,Amares,Braga,41.6207863963065,-8.34880764147141,se-at_2025,candidate,False,0301S5009900_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0302S5003100,ALVELOS,SE_AT,Cávado,Barcelos,Braga,41.5091613627461,-8.62213340694942,se-at_2025,candidate,False,0302S5003100_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0302S5003100,ALVELOS,SE_AT,Cávado,Barcelos,Braga,41.5091613627461,-8.62213340694942,se-at_2025,candidate,False,0302S5003100_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0302S5014200,PENIDE,SE_AT,Cávado,Barcelos,Braga,41.5522319690779,-8.53580683644725,se-at_2025,candidate,False,0302S5014200_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0302S5014200,PENIDE,SE_AT,Cávado,Barcelos,Braga,41.5522319690779,-8.53580683644725,se-at_2025,candidate,False,0302S5014200_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0302S5022200,LIJÓ,SE_AT,Cávado,Barcelos,Braga,41.5622992750814,-8.61267500183666,se-at_2025,candidate,False,0302S5022200_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0302S5022200,LIJÓ,SE_AT,Cávado,Barcelos,Braga,41.5622992750814,-8.61267500183666,se-at_2025,candidate,False,0302S5022200_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0303S5000400,BRAGA,SE_AT,Cávado,Braga,Braga,41.5415317179847,-8.4212842374996,se-at_2025,candidate,False,0303S5000400_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
