dataset_version,relative_path,file_group,file_format,field_count,bytes,schema_generated,principal_core_schema,source_or_derivation
v1.0.2,provenance/responsible_release_boundary.json,provenance,json,33,10823,True,False,Generated release/source provenance metadata.
v1.0.2,validation/internal_validation_checks.csv,technical_validation,csv,6,4519,True,True,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.2,validation/internal_validation_missingness.csv,technical_validation,csv,6,31683,True,True,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.2,validation/internal_validation_summary.json,technical_validation,json,47,3099,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.2,validation/matcher_negative_control_geometry.csv,technical_validation,csv,34,1980771,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.2,validation/matcher_negative_control_geometry_summary.json,technical_validation,json,51,2635,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.2,validation/matcher_negative_control_names.csv,technical_validation,csv,37,168668,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.2,validation/matcher_negative_control_names_summary.json,technical_validation,json,36,1972,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.2,validation/projection_release_transition.csv,technical_validation,csv,11,66298,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.2,validation/projection_release_transition_summary.json,technical_validation,json,35,1696,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.2,validation/pt_osm_openinframap_60kv_evidence.csv,technical_validation,csv,18,675070,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.2,validation/pt_osm_openinframap_independence_audit_summary.json,technical_validation,json,28,1942,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.2,validation/pt_topology_cross_validation_osm_matches.csv,technical_validation,csv,29,133778,True,True,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.2,validation/pt_topology_cross_validation_osm_matches_independence_audit.csv,technical_validation,csv,38,242543,True,True,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.2,validation/pt_topology_cross_validation_source_audit.csv,technical_validation,csv,7,1555,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.2,validation/pt_topology_cross_validation_summary.json,technical_validation,json,18,1073,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.2,schema/data_dictionary.csv,schema,csv,21,0,True,False,Generated schema package documentation.
v1.0.2,schema/file_schema_summary.csv,schema,csv,9,0,True,False,Generated schema package documentation.
v1.0.2,schema/join_relationships.csv,schema,csv,7,0,True,False,Generated schema package documentation.
